Age,Word,Lexical_Class,MCDIp,LogFreq,ProKWo
24,bean,nouns,0.5077187,2.181843588,0.453593114
25,bean,nouns,0.5075075,2.201397124,0.494994995
26,bean,nouns,0.6574586,2.220108088,0.584378298
27,bean,nouns,0.6205128,2.274157849,0.605153343
28,bean,nouns,0.7779172,2.294466226,0.731711053
29,bean,nouns,0.6161616,2.369215857,0.664535985
30,bean,nouns,0.820339,2.376576957,0.78103403
16,bear,nouns,0.3357741,3.042181595,0.094939254
17,bear,nouns,0.3443223,3.109240969,0.114572513
18,bear,nouns,0.5022624,3.163161375,0.178435935
19,bear,nouns,0.5640244,3.201397124,0.224177018
20,bear,nouns,0.6021898,3.264345507,0.245971804
21,bear,nouns,0.6157635,3.302114377,0.275210514
22,bear,nouns,0.685,3.33485569,0.381038397
23,bear,nouns,0.7748092,3.362293938,0.432892034
24,bear,nouns,0.7855918,3.416141031,0.469685379
25,bear,nouns,0.8138138,3.43917474,0.514426589
26,bear,nouns,0.8674033,3.457881897,0.592823361
27,bear,nouns,0.8564103,3.510679031,0.617767928
28,bear,nouns,0.9460477,3.542451947,0.737004062
29,bear,nouns,0.8838384,3.585573519,0.680287687
30,bear,nouns,0.9525424,3.604334073,0.783664923
16,because,function_words,0.00209205,3.21031852,0.046669338
17,because,function_words,0,3.222716471,0.053514582
18,because,function_words,0.009049774,3.284656283,0.089324263
19,because,function_words,0.02134146,3.303627976,0.12475616
20,because,function_words,0.02919708,3.32776749,0.140795005
21,because,function_words,0.03940887,3.359645793,0.16601769
22,because,function_words,0.105,3.387923467,0.262766977
23,because,function_words,0.1335878,3.419294722,0.306438313
24,because,function_words,0.1166381,3.509068045,0.344121588
25,because,function_words,0.1471471,3.544688022,0.39472104
26,because,function_words,0.2651934,3.579669294,0.483304182
27,because,function_words,0.3025641,3.607883744,0.511365929
28,because,function_words,0.3676286,3.645127399,0.635523089
29,because,function_words,0.4191919,3.699404082,0.596981178
30,because,function_words,0.4915254,3.737033531,0.705512661
16,bed,nouns,0.1140167,2.522444234,0.071909575
17,bed,nouns,0.2051282,2.58546073,0.085733496
18,bed,nouns,0.3665158,2.677606953,0.146923206
19,bed,nouns,0.4329268,2.720985744,0.19397211
20,bed,nouns,0.5328467,2.824776462,0.222007799
21,bed,nouns,0.5862069,2.904174368,0.247652467
22,bed,nouns,0.68,2.972665592,0.353277641
23,bed,nouns,0.7862595,3.028977705,0.40025478
24,bed,nouns,0.8147513,3.102090526,0.441291292
25,bed,nouns,0.8558559,3.146438135,0.485328459
26,bed,nouns,0.839779,3.191171456,0.561781838
27,bed,nouns,0.9076923,3.23578087,0.589031122
